Class,POP,WorkGroup,miX,Idsample,date,a-pinene,fenchene,camphene,b-pinene,b-myrcene,a-phellandrene,a-terpinene,d-limonene,cineolo,b-ocimene,g-terpinene,p-cymene,terpinolene,neryl-propionate,nerol,neryl-isovaleriate,neryl-acetate,linalool,terpinen-4-ol,a-terpineol,a-ylangene,a-copaene,isoitalicene,italicene,cis-a-bergamotene,trans-a-bergamotene,b-caryophillene,guaia-6.9-diene,b-farnesene,g-curcumene,a-muurolene,b-bisabolene,d-cadinene,sesquiterpene8,b-selinene,b-curcumene,selinene,a-curcumene,C15H26O2,guaiol,sesquiterpene 4,rosifoliol,TOT_Mono,TOT_mono&sesqui,Work_prop,Work_prop2,Work_prop3,Isole,WorkGroup_dup
C,I,C_I,,C I 1 2sett20.D,02/09/2020 22:44:29,"13440,5195162167",0,0,"8844,51733783779","23973,244093997",0,0,"62957,845500001",0,0,"178687,865999999","8443,86392669338",0,"3668086,66526402","2766224,39364466","674204,241500754","25361552,1836654","349110,971898281",0,0,0,0,"380512,379599916","1602859,52758348","4338707,54982857","2251389,47873962","5321232,38776586",0,"93568,196947761","7572932,62454713",0,"599886,649500001",0,0,0,"855286,771000003",0,"3625110,06873665",0,0,0,0,"33115526,3123479","59757011,9465969",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 10 2sett20 .D,03/09/2020 07:03:45,"1488552,9733812","366117,526629423","108805,820014648","449671,467679022","58654,6803848645","23534,2881740538","594774,6090921","2923962,45511062","5612255,94547103",0,"740216,761863779","254933,643588063",0,"4019172,11583927","7157901,48449905","594991,476512713","14076664,039738","1172913,72154715","1183948,71476832",0,0,"38005,3914441025","361661,049734004","1470750,86454318",0,0,"1639053,71626794",0,"30144,7825597017","13898594,9872539",0,0,0,0,0,"235874,57329054",0,"1718916,0176871",0,"888246,049994927",0,"3925428,10937984","40827071,7242933","65033747,2664485",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 11 25SETT20.D,28/09/2020 05:51:03,"324783,142118134","103310,69994054","78679,1686786006","98143,8207229227","10540,8503459462","12434,9122567569",0,"1204520,29652574",0,0,"45094,6657313431","12649,191647761",0,"538855,849750974","522103,331261278","105696,755134972","7458972,3840634","672102,472645283",0,0,0,"13153,4546451283","45725,6127686572","211959,412588268","684752,580197355","373612,778254713",0,0,"34351,8394999999","738616,415075361",0,"132936,824",0,0,0,"180734,644274054",0,"665067,671765928",0,"123177,22871417",0,"3285486,69970117","11187887,5408237","17677462,7023085",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 12 2sett20 .D,03/09/2020 08:55:02,"5075023,00113978","151835,233500002","118497,671944798","944404,779472775","33416,8725227028","34604,2518140537","389708,455030813","2336241,65142215","109759,370000001",0,"1433228,51161791","423754,375081079",0,"2681650,5554741","2766137,12715768","562491,066297152","7848687,2280219","333892,508519148","1848984,65708138",0,0,"44988,7244999998","300107,155227251","1265674,83766971","1067048,10889415","743018,134626178","4346732,95985307",0,"93943,5203955223","12426173,6801804",0,"177369,125",0,"103914,787000001",0,"504886,118912983",0,"1887164,25627798",0,0,0,0,"27092317,3160974","50053338,7246347",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 13 25SETT20.D,28/09/2020 04:55:27,"780298,984111712","13003,9847789188","16761,47947727","227447,270121749","28862,8698118922","8334,81699999998","207061,612518645","231422,351500001","1338192,93173784",0,"414536,79462236","108188,094499999","10547,3867415222","4690540,06484126","1201676,83854937","543682,456604614","9747619,5092175","372596,412875146","1116011,28172761",0,0,0,"238158,934901205","969772,117429466","1536206,26282316","682041,718958659","722554,782179831",0,"149211,5495","8184698,9252249",0,"276074,3125",0,"45466,3800000001",0,"492914,236761621",0,"1085765,13951394",0,0,0,0,"21056785,1407374","35439649,5005302",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 14 30SETT20.D,30/09/2020 14:47:30,"946926,47367643","282593,679897073","216628,868837838","287734,366768431","164842,471351351",0,"257688,664105132","4044805,69833873","1284674,9961823",0,"202499,318499999","73521,9382388075","20095,797596114","4297719,77142044","1172320,70651554","95719,017511229","19675036,0407523","4604782,16381683",0,0,0,0,"277745,485366144","545666,54897503","1181977,29585578","682245,779720247","369033,988999997",0,"55527,9699999998","1393589,71956393",0,"185380,716746269",0,0,0,"253811,24130946",0,"1303924,15087752",0,"1031702,48419078",0,"13131848,257149","37627589,9735085","58040043,6122627",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 15 25SETT20.D,26/09/2020 17:26:07,"1533629,33452965","131575,763036816","57330,4981214351","106985,899862703","21837,4978108112",0,"104962,188549256","989682,11807625","2598657,74158261",0,"269510,485505969","132070,652285714",0,"3564238,46167065","866044,67328849","259450,352615479","18183264,8019216","1119064,63140795","2579899,77624618",0,0,0,"60072,9504328359","258394,146858734","222827,477235399","123869,601999999","264940,276999999",0,0,"1183528,95022598",0,"62289,9295",0,0,0,"93531,1312443243",0,"853654,790706094",0,0,0,0,"32518204,8765116","35641314,1317149",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 16 2sett20 .D,03/09/2020 12:37:52,"66838,0698029042",0,0,"41465,2104891891","26259,4321151351",0,0,"67824,1503694028","1238316,35876583",0,"140322,236205226","11086,227037143",0,"3904943,9905182","1406387,76697034","280159,508489236","17936149,1189496","2157459,76236389",0,0,0,"31730,1414676917","159376,172","663381,56329219","521032,752775258","258138,479120039","704300,063500003",0,"42717,3315000001","3370100,36772738",0,"85998,9591156716",0,"50555,6069999997",0,"269012,307402699",0,"1107093,34197519",0,"1938080,66498524",0,"10649357,4778579","27277211,8320761","47128087,0617954",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 17 30SETT20.D,30/09/2020 15:43:32,"16008628,0906637","2485916,04637974","1117206,26582425","8397106,85475487","234154,097395134","401937,949000003","3751569,66082284","28041779,1389489","867610,96300002",0,"10348294,3741197","2630805,90178652","2711985,02882276","18606477,2931358","3579360,29792298","955023,654956251","51721449,8032636","3302015,87524199","10771501,7879865",0,0,"49533,8362128199","1464295,13526429","5028728,17398407","2652256,59743309","1227861,749","28555694,5653654",0,"221110,145113431","43596325,7600701",0,"770336,629499995",0,"174255,613500001",0,"1259739,86663515",0,"9143524,22182389",0,"9981361,99560338",0,"56558636,8178892","165932823,084026","326616484,19142",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 18 25SETT20.D,28/09/2020 02:07:24,"1723498,84178543","576478,928392579","146438,686394636","809601,907242314","30944,256023784","32584,4018359457","373577,170456945","5267128,72660919","815071,521726375",0,"800655,353123495","231672,531758951","35547,0361603247","6610770,26619774","1519787,09105763","444311,416","17932599,3962259","1985763,06822401","926248,242816222",0,"355301,772556967",0,"257031,713808609","1062494,62259217","672357,09260235","300335,336500002","341481,216004479",0,"46857,9480000002","9858349,67796559",0,"693420,434499995",0,"51610,2495000012",0,"431917,128000003",0,"1583550,61642222",0,0,0,0,"40262678,8420315","55917386,6504839",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
